time,weather,probe
2018-06-21 21:23,75.2,86.68
2018-06-21 21:53,75.2,84.88
2018-06-21 22:23,73.4,82.96
2018-06-21 22:53,69.8,81.16
2018-06-21 23:23,68.0,79.36
2018-06-21 23:53,68.0,77.79
2018-06-22 00:23,66.2,76.21
2018-06-22 00:53,64.4,74.75
2018-06-22 01:23,64.4,73.40
2018-06-22 01:53,60.8,72.05
2018-06-22 02:24,60.8,70.70
2018-06-22 02:54,60.8,69.46
2018-06-22 03:24,60.8,68.34
2018-06-22 03:54,60.8,67.33
2018-06-22 04:24,60.8,66.31
2018-06-22 04:54,60.8,65.30
2018-06-22 05:24,59.0,64.40
2018-06-22 05:54,59.0,63.61
2018-06-22 06:24,59.0,62.94
2018-06-22 06:54,59.0,62.38
2018-06-22 07:24,62.6,62.15
2018-06-22 07:54,60.8,62.15
2018-06-22 08:24,66.2,62.49
2018-06-22 08:54,66.2,63.05
2018-06-22 09:24,73.4,63.95
2018-06-22 09:54,77.0,64.96
2018-06-22 10:24,80.6,66.31
2018-06-22 10:54,84.2,67.89
2018-06-22 11:24,87.8,69.46
2018-06-22 11:54,87.8,71.26
2018-06-22 12:24,91.4,73.40
2018-06-22 12:54,91.4,75.76
2018-06-22 13:24,96.8,78.58
2018-06-22 13:54,96.8,81.16
2018-06-22 14:24,96.8,83.53
2018-06-22 14:54,96.8,85.66
2018-06-22 15:24,98.6,88.03
2018-06-22 15:55,98.6,90.28
2018-06-22 16:25,100.4,92.30
2018-06-22 16:55,100.4,93.43
2018-06-22 17:25,100.4,93.99
2018-06-22 17:55,100.4,94.21
2018-06-22 18:25,100.4,94.78
2018-06-22 18:55,100.4,96.91
2018-06-22 19:25,98.6,98.26
2018-06-22 19:55,98.6,98.60
2018-06-22 20:25,93.2,97.14
2018-06-22 20:55,93.2,95.22
2018-06-22 21:25,89.6,93.20
2018-06-22 21:55,89.6,91.06
2018-06-22 22:25,80.6,88.93
2018-06-22 22:55,80.6,87.01
2018-06-22 23:25,73.4,85.10
2018-06-22 23:55,73.4,83.41
2018-06-23 00:25,75.2,81.72
2018-06-23 00:55,71.6,80.15
2018-06-23 01:25,71.6,78.58
2018-06-23 01:55,71.6,77.22
2018-06-23 02:25,71.6,75.99
2018-06-23 02:55,73.4,74.86
2018-06-23 03:25,73.4,73.74
2018-06-23 03:55,68.0,72.84
2018-06-23 04:26,77.0,71.83
2018-06-23 04:56,77.0,70.93
2018-06-23 05:26,75.2,70.03
2018-06-23 05:56,77.0,69.24
2018-06-23 06:26,64.4,68.45
2018-06-23 06:56,64.4,67.89
2018-06-23 07:26,80.6,67.78
2018-06-23 07:56,69.8,67.89
2018-06-23 08:26,82.4,68.34
2018-06-23 08:56,82.4,69.24
2018-06-23 09:26,89.6,70.25
2018-06-23 09:56,89.6,71.49
2018-06-23 10:26,91.4,73.06
2018-06-23 10:56,91.4,74.64
2018-06-23 11:26,93.2,76.21
2018-06-23 11:56,93.2,77.90
2018-06-23 12:26,96.8,79.81
2018-06-23 12:56,96.8,81.84
2018-06-23 13:26,100.4,84.20
2018-06-23 13:56,100.4,86.56
2018-06-23 14:26,100.4,88.70
2018-06-23 14:56,100.4,90.61
2018-06-23 15:26,102.2,92.86
2018-06-23 15:56,102.2,94.89
2018-06-23 16:26,102.2,96.35
2018-06-23 16:56,102.2,96.91
2018-06-23 17:27,104.0,97.25
2018-06-23 17:57,104.0,97.36
2018-06-23 18:27,102.2,97.92
2018-06-23 18:57,102.2,99.95
2018-06-23 19:27,100.4,101.30
2018-06-23 19:57,100.4,101.41
2018-06-23 20:27,96.8,99.39
2018-06-23 20:57,96.8,97.36
2018-06-23 21:27,89.6,95.11
2018-06-23 21:57,89.6,92.97
2018-06-23 22:27,86.0,90.84
2018-06-23 22:57,86.0,88.81
2018-06-23 23:27,84.2,87.01
2018-06-23 23:57,84.2,85.44
2018-06-24 00:27,82.4,83.86
2018-06-24 00:57,82.4,82.51
2018-06-24 01:27,78.8,81.16
2018-06-24 01:57,84.2,79.81
2018-06-24 02:27,73.4,78.69
2018-06-24 02:57,73.4,77.34
2018-06-24 03:27,75.2,75.88
2018-06-24 03:57,75.2,74.53
2018-06-24 04:27,71.6,73.29
2018-06-24 04:57,68.0,72.05
2018-06-24 05:27,66.2,70.93
2018-06-24 05:57,66.2,69.91
2018-06-24 06:27,66.2,69.01
2018-06-24 06:58,66.2,68.34
2018-06-24 07:28,66.2,67.89
2018-06-24 07:58,66.2,67.66
2018-06-24 08:28,71.6,67.66
2018-06-24 08:58,73.4,67.78
2018-06-24 09:28,78.8,68.22
2018-06-24 09:58,78.8,68.79
2018-06-24 10:28,82.4,69.58
2018-06-24 10:58,82.4,70.47
2018-06-24 11:28,86.0,71.49
2018-06-24 11:58,86.0,72.61
2018-06-24 12:28,89.6,73.85
2018-06-24 12:58,89.6,75.31
2018-06-24 13:28,91.4,77.22
